"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"moment.js","/home/marczinusd/dev/moment/src/moment.js","9","40","95","96.01510067114094","71dbe44f-d6f8-45ca-bdcd-7c64866baf47",""
"iso-string.js","/home/marczinusd/dev/moment/src/lib/duration/iso-string.js","4","13","64","-1","39a896ec-c0b3-432b-ae86-b41d1db3d9e6",""
"clone.js","/home/marczinusd/dev/moment/src/lib/duration/clone.js","1","2","6","-1","3ecc5111-b6f8-4132-baaa-df218716f16d",""
"as.js","/home/marczinusd/dev/moment/src/lib/duration/as.js","2","6","61","-1","d7e15725-d86f-44ca-b822-3022b68c7b1f",""
"valid.js","/home/marczinusd/dev/moment/src/lib/duration/valid.js","2","7","36","78.0701754385965","fef727d2-09bb-462c-8b24-03a9f9ff26f5",""
"duration.js","/home/marczinusd/dev/moment/src/lib/duration/duration.js","2","4","16","98.64864864864865","93a9fe9a-1421-4803-9990-bcd272a83f4b",""
"date-from-array.js","/home/marczinusd/dev/moment/src/lib/create/date-from-array.js","4","7","21","-1","d478d544-ae97-4e0f-863b-f7a90506fd6a",""
"from-array.js","/home/marczinusd/dev/moment/src/lib/create/from-array.js","7","16","147","-1","cbcabab4-e89d-4bbb-bbfe-522b53f885b9",""
"from-object.js","/home/marczinusd/dev/moment/src/lib/create/from-object.js","2","4","16","-1","a5c297f2-9db3-4fcc-b1e7-a281727433fc",""
"utc.js","/home/marczinusd/dev/moment/src/lib/create/utc.js","1","3","5","70.96774193548387","e0674c35-7166-4052-9b46-0b3e05d150c8",""
"from-string.js","/home/marczinusd/dev/moment/src/lib/create/from-string.js","9","41","230","-1","09ef83bc-56fb-4b66-995d-6daa2aa21738",""
"from-anything.js","/home/marczinusd/dev/moment/src/lib/create/from-anything.js","7","16","110","-1","f01083a1-1c10-4edf-bdcb-503702bcb85c",""
"get.js","/home/marczinusd/dev/moment/src/lib/duration/get.js","2","4","25","63.63636363636363","7694ad9a-a2ee-4fb2-ada7-240d22483bf9",""
"check-overflow.js","/home/marczinusd/dev/moment/src/lib/create/check-overflow.js","2","6","34","-1","f07534d5-ed15-48a8-89ef-3216efa8c6ed",""
"local.js","/home/marczinusd/dev/moment/src/lib/create/local.js","1","3","5","-1","30830fbe-ac5e-4be0-bebe-fcdbc22b87d8",""
"from-string-and-array.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-array.js","2","4","50","-1","fcba92cf-d2b6-4129-8ff2-bee75d8047b8",""
"from-string-and-format.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-format.js","6","9","113","-1","84d005bc-04bf-4e9b-85bb-9db700ca0b3f",""
"valid.js","/home/marczinusd/dev/moment/src/lib/create/valid.js","5","9","50","78.0701754385965","e0efaaed-6c35-4cce-bcc9-4937a07be2de",""
"format.js","/home/marczinusd/dev/moment/src/lib/format/format.js","6","11","92","89.56521739130434","09567e5a-b449-4b31-ba9b-107773409bef",""
"second.js","/home/marczinusd/dev/moment/src/lib/units/second.js","2","4","29","-1","28f14421-2d19-406a-8c1c-f9ada9db1df0",""
"month.js","/home/marczinusd/dev/moment/src/lib/units/month.js","11","29","290","59.63855421686747","cbdaff22-b37e-427f-9aab-bd04787f88ca",""
"aliases.js","/home/marczinusd/dev/moment/src/lib/units/aliases.js","2","4","30","-1","2e169105-f1eb-41bf-8fc7-f973c37b8ec2",""
"millisecond.js","/home/marczinusd/dev/moment/src/lib/units/millisecond.js","2","6","69","-1","d7433439-9c88-417d-a8be-287b950fe8ec",""
"units.js","/home/marczinusd/dev/moment/src/lib/units/units.js","1","3","20","58.333333333333336","c2666ea8-810f-40c2-b001-a2afce362e60",""
"priorities.js","/home/marczinusd/dev/moment/src/lib/units/priorities.js","1","2","16","-1","11bc7cf4-3238-47b4-bcae-40d888ee357a",""
"parsing-flags.js","/home/marczinusd/dev/moment/src/lib/create/parsing-flags.js","4","6","26","-1","1aa2e7a9-61d4-4c8c-a37a-9dfe00f1857e",""
"week-calendar-utils.js","/home/marczinusd/dev/moment/src/lib/units/week-calendar-utils.js","2","6","65","-1","e2082d00-979c-468d-8e98-efc556086043",""
"bubble.js","/home/marczinusd/dev/moment/src/lib/duration/bubble.js","1","5","61","-1","5985c738-e180-4189-a520-c1c893a2f0fc",""
"humanize.js","/home/marczinusd/dev/moment/src/lib/duration/humanize.js","4","8","85","-1","502e0ed9-bcb6-4165-82d3-4c0a2ae8bc3f",""
"ar-ly.js","/home/marczinusd/dev/moment/src/locale/ar-ly.js","4","5","113","100","12d81f64-7cfc-43ca-aaba-19968410d0d4",""
"bo.js","/home/marczinusd/dev/moment/src/locale/bo.js","3","8","111","100","affe795f-e78f-4c97-b872-6a3118c6cf54",""
"mi.js","/home/marczinusd/dev/moment/src/locale/mi.js","3","4","55","100","d9c39979-970e-4a96-824a-28e23ed08c71",""
"ur.js","/home/marczinusd/dev/moment/src/locale/ur.js","2","6","90","100","1ef8631f-aa00-45dd-a620-5fa46ccc7618",""
"zh-tw.js","/home/marczinusd/dev/moment/src/locale/zh-tw.js","10","13","95","96.55172413793103","006fc71f-032c-49c4-b3db-02e15ab03890",""
"en-ie.js","/home/marczinusd/dev/moment/src/locale/en-ie.js","4","7","59","100","52349ce8-3043-4365-8cfd-53527861e809",""
"prototype.js","/home/marczinusd/dev/moment/src/lib/locale/prototype.js","1","7","69","50","297a7f72-33d0-4adc-b536-b36e3ce91496",""
"locale.js","/home/marczinusd/dev/moment/src/lib/locale/locale.js","2","5","39","96.11940298507463","d359a6a4-3cc0-4314-ab52-777b6905e18b",""
"pre-post-format.js","/home/marczinusd/dev/moment/src/lib/locale/pre-post-format.js","1","2","3","-1","814673a8-db32-42df-9a36-fbe74c73af1f",""
"formats.js","/home/marczinusd/dev/moment/src/lib/locale/formats.js","3","4","23","-1","da42b4c0-6c2a-4839-a78e-d18ab8b4359e",""
"constructor.js","/home/marczinusd/dev/moment/src/lib/locale/constructor.js","1","4","5","-1","f11bcddc-d7fc-42bd-b3ea-18c74616486a",""
"abs.js","/home/marczinusd/dev/moment/src/lib/duration/abs.js","1","2","18","-1","6ecbb0fd-6cfa-4742-8d41-b0aed61dc034",""
"invalid.js","/home/marczinusd/dev/moment/src/lib/locale/invalid.js","1","2","5","78.0701754385965","7da4c0ee-be91-430a-ae31-c6d3ef24c527",""
"relative.js","/home/marczinusd/dev/moment/src/lib/locale/relative.js","3","4","30","-1","ea3c7837-e1b6-45e2-bef8-2b8d5c4a27b9",""
"base-config.js","/home/marczinusd/dev/moment/src/lib/locale/base-config.js","2","4","44","-1","079d73e5-b68e-4ebd-8091-92059cc4b7fd",""
"calendar.js","/home/marczinusd/dev/moment/src/lib/locale/calendar.js","3","4","15","77.27272727272727","46d0fa11-1f4b-4afb-8a23-67df7f1dab8e",""
"lists.js","/home/marczinusd/dev/moment/src/lib/locale/lists.js","2","5","93","-1","5b4732b9-358a-41aa-bb2d-bf61b7d2c136",""
"locales.js","/home/marczinusd/dev/moment/src/lib/locale/locales.js","10","29","186","-1","221727ad-6d5f-4a00-abd0-dd80657ebd15",""
"en.js","/home/marczinusd/dev/moment/src/lib/locale/en.js","3","7","15","89.52380952380952","18f59976-b4e0-42e8-a3ac-746a1ea0508a",""
"set.js","/home/marczinusd/dev/moment/src/lib/locale/set.js","4","9","49","92.89772727272727","f2ef79ab-0dd0-46e9-9aad-ece091a5d3ad",""
"prototype.js","/home/marczinusd/dev/moment/src/lib/duration/prototype.js","3","7","52","50","03591682-fcda-4b5c-a696-0ccc892afb50",""
"constructor.js","/home/marczinusd/dev/moment/src/lib/duration/constructor.js","4","10","44","-1","04ae7a7f-4771-497f-8f89-beac83a2ff1e",""
"add-subtract.js","/home/marczinusd/dev/moment/src/lib/duration/add-subtract.js","1","3","21","-1","42456d7b-7cd4-4312-b8bc-38e9a74e4055",""
"create.js","/home/marczinusd/dev/moment/src/lib/duration/create.js","9","16","122","95.79710144927536","9d1fc7c9-a851-4f22-899b-a88e2fe34274",""
"ordinal.js","/home/marczinusd/dev/moment/src/lib/locale/ordinal.js","2","3","7","-1","ca49eb4f-4ac6-47c5-a36e-6c3f0c9aaedf",""
"nn.js","/home/marczinusd/dev/moment/src/locale/nn.js","6","9","52","100","94c9f13c-8f5c-4e00-ad5b-5ab4005183d4",""
"offset.js","/home/marczinusd/dev/moment/src/lib/units/offset.js","9","15","235","92.89772727272727","8d3d364b-ff88-4111-9fc5-b8126386b261",""
"timezone.js","/home/marczinusd/dev/moment/src/lib/units/timezone.js","1","3","16","-1","a5bd215f-9693-4ef1-a661-50b54313d323",""
"valid.js","/home/marczinusd/dev/moment/src/lib/moment/valid.js","2","4","15","78.0701754385965","9708fad2-56a9-4002-8253-ad776602d4a4",""
"token.js","/home/marczinusd/dev/moment/src/lib/parse/token.js","2","4","33","-1","aa7ddf54-3151-4df1-b24e-08655da91822",""
"regex.js","/home/marczinusd/dev/moment/src/lib/parse/regex.js","5","11","54","-1","56dce655-7e08-4b19-b1af-c47a9522e7f2",""
"is-date.js","/home/marczinusd/dev/moment/src/lib/utils/is-date.js","2","3","3","-1","ba297868-ee28-4d9a-9704-21ccaf79bd79",""
"defaults.js","/home/marczinusd/dev/moment/src/lib/utils/defaults.js","1","2","10","-1","131f42be-e8bc-499e-95ae-1ed77ab85bbd",""
"abs-ceil.js","/home/marczinusd/dev/moment/src/lib/utils/abs-ceil.js","1","2","7","-1","0d6e3e86-5d43-4de7-8b22-beadcd347f5e",""
"extend.js","/home/marczinusd/dev/moment/src/lib/utils/extend.js","1","3","19","-1","e5ef0542-70c7-4d6f-8393-fff5305072e3",""
