"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"moment.js","/home/marczinusd/dev/moment/src/moment.js","11","59","93","96.01510067114094","5be92a8f-a8c4-4df0-a4b8-973e65bcecc7",""
"abs.js","/home/marczinusd/dev/moment/src/lib/duration/abs.js","1","3","18","-1","82b66bba-6f4d-43be-9359-c8a51d6aa99b",""
"bubble.js","/home/marczinusd/dev/moment/src/lib/duration/bubble.js","2","8","68","-1","027310ee-2f62-442a-bc48-c256f71a5491",""
"get.js","/home/marczinusd/dev/moment/src/lib/duration/get.js","2","6","27","63.63636363636363","fb8adb10-4218-4fb4-b013-bc0fc24fe748",""
"iso-string.js","/home/marczinusd/dev/moment/src/lib/duration/iso-string.js","4","15","68","-1","aafa74aa-43a7-4bcd-8ac7-99242f300085",""
"clone.js","/home/marczinusd/dev/moment/src/lib/duration/clone.js","2","3","5","-1","dd31f0c8-b1b1-4c21-9a26-3d8bfd8eff4e",""
"as.js","/home/marczinusd/dev/moment/src/lib/duration/as.js","3","9","88","-1","0b35bd03-a2d3-4506-9477-c2b337236392",""
"valid.js","/home/marczinusd/dev/moment/src/lib/duration/valid.js","5","11","55","78.0701754385965","f6bb61e4-88aa-4f6b-af78-9904db6cf403",""
"duration.js","/home/marczinusd/dev/moment/src/lib/duration/duration.js","3","7","16","98.64864864864865","e592cb59-1e9e-465e-822e-31748fb1b653",""
"date-from-array.js","/home/marczinusd/dev/moment/src/lib/create/date-from-array.js","5","10","35","-1","624a3c35-152d-48e6-97af-f659b084b1c8",""
"from-array.js","/home/marczinusd/dev/moment/src/lib/create/from-array.js","8","19","187","-1","1b0eb6fb-3700-4396-af29-4854a1bea779",""
"from-object.js","/home/marczinusd/dev/moment/src/lib/create/from-object.js","3","7","20","-1","f421283b-149e-417a-876b-367cbd781dc8",""
"utc.js","/home/marczinusd/dev/moment/src/lib/create/utc.js","1","4","5","70.96774193548387","bbef40ed-84a8-45ec-8cb7-05e3a82b99b0",""
"humanize.js","/home/marczinusd/dev/moment/src/lib/duration/humanize.js","7","16","114","-1","43735116-7c58-4ad1-ba47-749b662f13f8",""
"from-string.js","/home/marczinusd/dev/moment/src/lib/create/from-string.js","17","51","255","-1","b89e4118-7cd5-448e-95a7-693df1a48d5e",""
"check-overflow.js","/home/marczinusd/dev/moment/src/lib/create/check-overflow.js","2","8","57","-1","3fe40427-400f-418b-bed7-148ba7a1f2a8",""
"parsing-flags.js","/home/marczinusd/dev/moment/src/lib/create/parsing-flags.js","6","8","28","-1","677f2ea0-7a18-4eae-97df-a552b763eae8",""
"local.js","/home/marczinusd/dev/moment/src/lib/create/local.js","1","4","5","-1","ded40e0e-85a0-4939-bf8e-bf99963e1471",""
"from-string-and-array.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-array.js","4","7","67","-1","801cbbd0-9357-4f44-a5fe-9c99c455e4e4",""
"from-string-and-format.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-format.js","9","13","135","-1","5a4e9f76-bb4b-4ffe-bf8a-335fb65d0447",""
"valid.js","/home/marczinusd/dev/moment/src/lib/create/valid.js","6","12","51","78.0701754385965","b2d4e6ce-6a90-4ffe-a076-01b5d2dfc999",""
"format.js","/home/marczinusd/dev/moment/src/lib/format/format.js","7","14","103","89.56521739130434","856f0940-a384-42a7-8549-3876cd22a9b8",""
"second.js","/home/marczinusd/dev/moment/src/lib/units/second.js","2","5","29","-1","e30c382f-463c-4b56-9d0a-633eefb7f6fa",""
"month.js","/home/marczinusd/dev/moment/src/lib/units/month.js","12","32","349","59.63855421686747","6390b4ce-00a8-48a4-b4e6-c7de02ef716a",""
"aliases.js","/home/marczinusd/dev/moment/src/lib/units/aliases.js","2","5","31","-1","895e4729-bde1-46a8-86e2-0dfff1691c21",""
"millisecond.js","/home/marczinusd/dev/moment/src/lib/units/millisecond.js","2","8","76","-1","54446c97-8d0a-4dbe-b3ae-e987f85e0a46",""
