"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
".eslintrc.js","/home/marczinusd/dev/react/.eslintrc.js","6","11","64","-1","a9d27ebe-ae72-41a2-850f-5a02258bd495",""
"ReactMultiChildUpdateTypes.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactMultiChildUpdateTypes.js","3","5","23","-1","aabe7096-b561-4c43-8a6d-defe80f00925",""
"ReactChildReconciler.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactChildReconciler.js","8","25","212","-1","68ab4c96-d75d-4437-9328-3fd68168e7a4",""
"ReactNodeTypes.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactNodeTypes.js","3","6","38","-1","edcf2972-270b-4d7b-8e46-5dce806fae3a",""
"instantiateReactComponent.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/instantiateReactComponent.js","8","19","156","-1","ab4033ec-9379-4fad-a7da-04f0210091aa",""
"getHostComponentFromComposite.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/getHostComponentFromComposite.js","2","3","28","-1","c4dd0444-5c91-4c7e-86e1-1344a4305211",""
"ReactComponentEnvironment.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactComponentEnvironment.js","3","8","53","-1","77586b8d-1c4d-4faa-bb8e-a485171f6e37",""
"ReactCompositeComponent.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactCompositeComponent.js","18","63","1347","-1","a1d8e376-8268-45a6-acae-04288400dc09",""
"ReactDefaultBatchingStrategy.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactDefaultBatchingStrategy.js","4","7","64","-1","0f509dc2-a6fa-4979-bdc8-c295b8aa0df0",""
"ReactUpdates.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactUpdates.js","10","20","220","-1","d0b2b312-5106-4289-b6b2-06186fcb9796",""
"ReactUpdateQueue.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactUpdateQueue.js","10","22","255","-1","cb96439e-cca6-4158-931b-4c524292b5dd",""
"ReactCompositeComponentTypes.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactCompositeComponentTypes.js","2","3","17","-1","caf98871-18d9-467c-8c37-f6b4d92fc1ff",""
"flattenStackChildren.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/flattenStackChildren.js","4","8","109","-1","a649acad-f493-4789-a947-eb2cf25a006b",""
"ReactEmptyComponent.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactEmptyComponent.js","2","3","28","-1","dedd52f8-5fda-4704-bc46-f0af3ac98760",""
"traverseStackChildren.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/traverseStackChildren.js","3","7","198","-1","49b1ce48-3c04-4215-a6d7-777506759dbe",""
"ReactDebugCurrentStack.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactDebugCurrentStack.js","2","3","36","-1","b9d9e35d-9b35-467f-a594-709e662edaf3",""
"Transaction.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/Transaction.js","2","8","241","-1","e04a2dd2-ae7b-4893-99c7-2cbf6a4168d9",""
"ReactRef.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactRef.js","9","15","144","-1","b8928bfd-afdd-4e8a-93d8-358cee4386b8",""
"ReactInstanceType.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactInstanceType.js","7","11","47","-1","be563d29-ed80-4220-9cc2-57d7950d533d",""
"KeyEscapeUtils.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/KeyEscapeUtils.js","2","3","63","-1","4e7c2974-57c4-4422-b5a9-8f99725ab643",""
"ReactReconciler.js","/home/marczinusd/dev/react/src/renderers/shared/stack/reconciler/ReactReconciler.js","6","16","223","-1","853d1a47-83ae-4367-b0f7-ee928a70cbcd",""
"EventPluginUtils.js","/home/marczinusd/dev/react/src/renderers/shared/shared/event/EventPluginUtils.js","4","12","234","-1","c1ccf435-5013-4d9c-9af5-e22673a22a88",""
"EventPropagators.js","/home/marczinusd/dev/react/src/renderers/shared/shared/event/EventPropagators.js","6","11","160","-1","2338965d-370a-4dea-9d81-51d91b26aee7",""
"ReactSyntheticEventType.js","/home/marczinusd/dev/react/src/renderers/shared/shared/event/ReactSyntheticEventType.js","4","7","34","-1","1ed79af2-b401-4954-b6c0-4f6238759b26",""
"EventPluginHub.js","/home/marczinusd/dev/react/src/renderers/shared/shared/event/EventPluginHub.js","4","20","248","-1","4e7f9de2-03f2-434e-9f01-d754a4627247",""
"ReactEventEmitterMixin.js","/home/marczinusd/dev/react/src/renderers/shared/shared/event/ReactEventEmitterMixin.js","2","4","40","-1","a5a27709-687f-4338-91e7-e5e2f418b267",""
