"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"watcher.js","/home/marczinusd/dev/vue/src/watcher.js","3","72","344","100","78953952-c80e-47f1-b539-6fffc804732d",""
"compile-props.js","/home/marczinusd/dev/vue/src/compiler/compile-props.js","1","35","206","100","83742538-2138-43e0-9e1f-0a91091ca87e",""
"transclude.js","/home/marczinusd/dev/vue/src/compiler/transclude.js","2","40","148","100","a81cf90b-a136-4966-9728-dae5f8a81e33",""
"dom.js","/home/marczinusd/dev/vue/src/api/dom.js","1","20","204","100","9c4c629f-41e5-4421-a192-c66d5c72102c",""
"events.js","/home/marczinusd/dev/vue/src/api/events.js","1","18","169","100","c6b43206-50b0-4494-92fc-4817d9d634d5",""
"global.js","/home/marczinusd/dev/vue/src/api/global.js","1","39","152","100","a1c9b74f-b215-4e5a-9ba0-29f0a940dcb8",""
"lifecycle.js","/home/marczinusd/dev/vue/src/api/lifecycle.js","1","49","68","100","eb444455-3b3e-4e6d-9751-a23dc1f53975",""
"data.js","/home/marczinusd/dev/vue/src/api/data.js","1","45","174","100","3d49dda0-2a46-4fa6-8c97-a80c9c3e3c78",""
"prop.js","/home/marczinusd/dev/vue/src/directives/internal/prop.js","1","7","64","100","26c34f3b-74df-4b57-a674-df695208d0e7",""
"class.js","/home/marczinusd/dev/vue/src/directives/internal/class.js","1","8","69","100","6f4dedaf-49f8-4c58-b885-0210e5dd9403",""
"index.js","/home/marczinusd/dev/vue/src/directives/internal/index.js","1","5","5","100","00bacb2a-c0e4-4694-b6e9-bb110295596b",""
"style.js","/home/marczinusd/dev/vue/src/directives/internal/style.js","1","7","108","100","c4dd55e8-445a-4807-b3df-0b769eb61ce7",""
"component.js","/home/marczinusd/dev/vue/src/directives/internal/component.js","1","9","338","100","d3e1eac7-78b5-4d10-9b21-0d8e0a647c56",""
"transition.js","/home/marczinusd/dev/vue/src/directives/internal/transition.js","1","4","20","100","df6478bd-8ee0-424d-99d4-94e217a81e84",""
"index.js","/home/marczinusd/dev/vue/src/directives/element/index.js","1","2","2","100","2c1eacc5-59f3-460c-b435-8429cd17bc1d",""
"compile.js","/home/marczinusd/dev/vue/src/compiler/compile.js","2","123","709","100","1f9f665a-2df8-44fd-8500-e8612bfc926a",""
