"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"render-context.js","/home/marczinusd/dev/vue/src/server/render-context.js","2","11","130","-1","26c89fd0-512f-4031-85ec-ccb09997395e",""
"node-ops.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/node-ops.js","4","15","59","100","d8d4f333-2dd1-4000-a167-491190e95dc6",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/index.js","2","15","8","100","00c5e6a8-2ce9-4cd0-9be5-42f552b90b07",""
"util.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/util.js","2","3","24","100","d8f61b01-2f3f-425b-a8bb-8a5f2a618795",""
"options.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/options.js","1","2","26","100","a478d919-1a96-465b-bd1c-39c23329fded",""
"element.js","/home/marczinusd/dev/vue/src/platforms/weex/util/element.js","2","4","52","100","27c0db74-eca0-47a5-8d03-582709a93d9c",""
"parser.js","/home/marczinusd/dev/vue/src/platforms/weex/util/parser.js","1","2","60","100","5b445796-b9b7-4941-bc5d-301c62000e73",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/util/index.js","3","16","40","100","17e96ac1-fa94-4bd1-a3df-4b2c2cdfc38f",""
"text-node.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/text-node.js","1","2","9","-1","3755f681-a955-4881-b486-13ccd7371b86",""
"patch.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/patch.js","1","3","16","100","f1ffe7b2-f189-4f25-b46d-19ae84c864cd",""
"transition-util.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/transition-util.js","10","20","190","97.1830985915493","2942b823-72c3-4eb5-b9b7-ac66074f3fe6",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/index.js","2","8","42","100","4f88eb46-5c0b-4cce-a092-ad7b235602c4",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/index.js","2","10","52","100","07b90ff8-3bac-400a-8a3f-bf10cee50ab7",""
"show.js","/home/marczinusd/dev/vue/src/platforms/web/server/directives/show.js","2","5","12","100","4b50ebfb-5fb0-4ba4-9c3e-c47162e121cd",""
"model.js","/home/marczinusd/dev/vue/src/platforms/web/server/directives/model.js","1","2","44","100","811e2a3e-2c55-4247-80eb-ef79934f8080",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/server/directives/index.js","1","3","7","100","a093deed-146f-4624-9364-eb70ce8e6047",""
"dom-props.js","/home/marczinusd/dev/vue/src/platforms/web/server/modules/dom-props.js","3","12","50","84.44444444444444","2c0324d8-8ebc-4fef-ae0c-ca538b6bfb75",""
"class.js","/home/marczinusd/dev/vue/src/platforms/web/server/modules/class.js","2","12","11","100","a5f8095c-d7c2-4af0-8a4f-03940e8a1194",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/server/modules/index.js","1","4","11","100","d32b2274-721f-49f9-a67a-b2c1f2e42711",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/web/server/modules/attrs.js","2","25","63","100","99cb0ae1-c808-40fe-a5f5-f80978813ce2",""
"style.js","/home/marczinusd/dev/vue/src/platforms/web/server/modules/style.js","4","23","41","100","da8fd7ba-bf3f-4ee2-bfcd-33ba57c57467",""
"node-ops.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/node-ops.js","2","11","91","100","13d28552-1740-4408-916f-229a6b818523",""
"show.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/directives/show.js","3","24","60","100","80810126-a45f-410d-9298-1d338ce27ab0",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/index.js","3","7","76","100","d5fd063b-e0d8-474b-9e79-abdd349c68c6",""
"class-util.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/class-util.js","5","16","63","100","a0825df5-a06a-4c4b-883e-28f57a7fcabb",""
"ref.js","/home/marczinusd/dev/vue/src/core/vdom/modules/ref.js","4","11","45","100","105d80b9-98ab-4ebd-b864-99b7a8255898",""
"bind-object-props.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/bind-object-props.js","4","7","64","100","1d98ad42-f470-493b-972d-3d87792d54fa",""
"resolve-scoped-slots.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/resolve-scoped-slots.js","1","5","27","100","019a5223-a630-4b86-ba0a-03593b509c13",""
"index.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/index.js","1","6","33","100","254cd4b7-3074-47ed-9c99-6700a9c313d2",""
"bind-dynamic-keys.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/bind-dynamic-keys.js","3","4","35","100","b837a045-a3e4-4d42-b4df-f781be4e488f",""
"render-slot.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/render-slot.js","3","7","38","100","3805de17-830e-4e8f-b09b-906c23510ab2",""
"render-list.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/render-list.js","3","6","50","100","38969c4e-f39f-4100-9974-021669c5d1e8",""
"bind-object-listeners.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/bind-object-listeners.js","1","4","22","100","d2958516-eff0-4211-a764-6bb5300dd234",""
"render-static.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/render-static.js","2","8","60","100","63cf5ed4-dc55-4108-b11d-94c91ffee385",""
"patch.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/patch.js","2","5","12","100","9884c850-ee05-4326-94c5-555db76b09f3",""
"resolve-slots.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/resolve-slots.js","3","19","50","100","ed8a7b20-a0b8-46d9-8c4b-6e8183436228",""
"check-keycodes.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/check-keycodes.js","2","5","34","100","8c1176d1-cbe3-4a02-8516-d77d20577fd1",""
"compiler.js","/home/marczinusd/dev/vue/src/platforms/web/server/compiler.js","1","2","11","100","f97a0bd5-c82b-44be-8ec5-ba7339829856",""
"util.js","/home/marczinusd/dev/vue/src/platforms/web/server/util.js","3","10","101","100","c318e696-cf0d-42f3-bb3f-f7747c371d4f",""
"element.js","/home/marczinusd/dev/vue/src/platforms/web/util/element.js","8","22","77","100","4d8fc6df-f791-4590-9590-ba6437237c45",""
"class.js","/home/marczinusd/dev/vue/src/platforms/web/util/class.js","2","15","85","100","b710e2fc-b6a6-45f5-b011-26ed38adeb72",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/util/index.js","2","14","25","100","7675ce74-6b02-4194-ade5-165d79e0dbe6",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/web/util/attrs.js","4","20","54","100","d3ea258c-4c0c-4373-bedb-0420eca47341",""
"style.js","/home/marczinusd/dev/vue/src/platforms/web/util/style.js","3","9","71","100","04670013-0d36-4e75-b7fb-6c042c193cca",""
"compat.js","/home/marczinusd/dev/vue/src/platforms/web/util/compat.js","2","5","16","100","71b9dcb0-b720-4fe7-9d22-2ea35c9803bc",""
"resolve-filter.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/resolve-filter.js","1","2","10","100","fe5a07d2-0d4b-4d62-be56-173cb87e7cbc",""
"model.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/directives/model.js","12","43","147","100","3d97c5a6-daa8-458a-8826-22800b1693c3",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/directives/index.js","1","2","7","100","3d6478ae-4502-40cc-8a0e-dd52d338b251",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/components/index.js","1","6","7","100","8c17a0d5-83d2-44d6-8e94-a6c5fe366856",""
"class.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/class.js","4","8","76","100","b012ed8e-a882-425a-8b72-31d159ed44ad",""
